Valve Type,FCC Model ,Trim Type,Flow Char,Flow Dir,Unbal. / Bal.,Rating,Valve Size,Seat Bore ,Travel,Co-efficients,10,20,30,40,50,60,70,80,90,100,P_ID,P_ID2,
butterfly,20,do,mod_equal,down,N/A,300,16,16,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#16#90#16,
butterfly,20,do,mod_equal,down,N/A,300,18,18    ,90,Cv,344,891,1490,2288,3356,4298,6827,8223,8576,8576,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#18#90#18,
butterfly,20,do,mod_equal,down,N/A,300,18,18    ,90,FL,0.78,0.81,0.81,0.79,0.75,0.69,0.62,0.56,0.52,0.52,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#18#90#18,
butterfly,20,do,mod_equal,down,N/A,300,18,18    ,90,Xt,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23,0.23,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#18#90#18,
butterfly,20,do,mod_equal,down,N/A,300,18,18    ,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#18#90#18,
butterfly,20,do,mod_equal,down,N/A,300,20,20,90,Cv,485,1026,1674,2601,3951,5587,8333,10326,10546,10546,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#20#90#20,
butterfly,20,do,mod_equal,down,N/A,300,20,20,90,FL,0.78,0.81,0.81,0.79,0.75,0.69,0.62,0.56,0.52,0.52,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#20#90#20,
butterfly,20,do,mod_equal,down,N/A,300,20,20,90,Xt,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23,0.23,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#20#90#20,
butterfly,20,do,mod_equal,down,N/A,300,20,20,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#20#90#20,
butterfly,20,do,mod_equal,down,N/A,300,24,24,90,Cv,678,1367,2229,3539,5465,7894,12442,14808,16166,16166,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#24#90#24,
butterfly,20,do,mod_equal,down,N/A,300,24,24,90,FL,0.78,0.81,0.81,0.79,0.75,0.69,0.62,0.56,0.52,0.52,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#24#90#24,
butterfly,20,do,mod_equal,down,N/A,300,24,24,90,Xt,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23,0.23,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#24#90#24,
butterfly,20,do,mod_equal,down,N/A,300,24,24,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#24#90#24,
butterfly,20,do,mod_equal,down,N/A,300,30,30,90,Cv,1064,2145,3526,5595,8602,12593,20420,24948,27852,27852,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#30#90#30,
butterfly,20,do,mod_equal,down,N/A,300,30,30,90,FL,0.78,0.81,0.81,0.79,0.75,0.69,0.62,0.56,0.52,0.52,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#30#90#30,
butterfly,20,do,mod_equal,down,N/A,300,30,30,90,Xt,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23,0.23,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#30#90#30,
butterfly,20,do,mod_equal,down,N/A,300,30,30,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#30#90#30,
butterfly,20,do,mod_equal,down,N/A,600,3,3,90,Cv,3,7,11,42,60,93,122,143,149,149,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#3#90#3,
butterfly,20,do,mod_equal,down,N/A,600,3,3,90,FL,0.71,0.75,0.77,0.81,0.79,0.71,0.62,0.49,0.59,0.59,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#3#90#3,
butterfly,20,do,mod_equal,down,N/A,600,3,3,90,Xt,0.275,0.33,0.481,0.516,0.487,0.361,0.275,0.19,0.231,0.231,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#3#90#3,
butterfly,20,do,mod_equal,down,N/A,600,3,3,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#3#90#3,
butterfly,20,do,mod_equal,down,N/A,600,4,4,90,Cv,5,27,41,63,86,135,190,244,271,271,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#4#90#4,
butterfly,20,do,mod_equal,down,N/A,600,4,4,90,FL,0.74,0.8,0.82,0.8,0.77,0.69,0.57,0.51,0.55,0.55,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#4#90#4,
