P_ID,P_ID2,Valve Size,Co-efficients,10,20,30,40,50,60,70,80,90,100
globe#contour#mod_equal#under#2500,globe#contour#mod_equal#under#2500#1#0.75#1.125,1,Xt,0.489,0.848,0.556,0.544,0.709,0.82,0.714,0.588,0.644,0.58
globe#contour#mod_equal#under#2500,globe#contour#mod_equal#under#2500#1#0.75#1.125,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#mod_equal#under#2500,globe#contour#mod_equal#under#2500#2#1.125#1,2,Cv,0.884,1.67,2.86,4.96,9.08,15.6,20.9,23,23.9,24.2
globe#contour#mod_equal#under#2500,globe#contour#mod_equal#under#2500#2#0.75#0.25,2,FL,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
globe#contour#mod_equal#under#2500,globe#contour#mod_equal#under#2500#2#0.75#0.25,2,Xt,0.696,0.7,0.698,0.7,0.696,0.7,0.697,0.745,0.714,0.7
globe#contour#mod_equal#under#2500,globe#contour#mod_equal#under#2500#2#0.75#0.25,2,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#mod_equal#under#2500,globe#contour#mod_equal#under#2500#2#1.125#1.25,2,Cv,1.19,1.9,3.6,8.17,16.9,23.9,29,31,32,33
globe#contour#mod_equal#under#2500,globe#contour#mod_equal#under#2500#2#0.75#0.5,2,FL,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
globe#contour#mod_equal#under#2500,globe#contour#mod_equal#under#2500#2#0.75#0.5,2,Xt,0.584,0.603,0.552,0.668,0.731,0.654,0.657,0.67,0.667,0.632
globe#contour#mod_equal#under#2500,globe#contour#mod_equal#under#2500#2#0.75#0.5,2,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#mod_equal#under#2500,globe#contour#mod_equal#under#2500#2#1.5#1.5,2,Cv,1.87,3.75,8.23,16.5,26.2,33.4,38,41.7,43.4,44.2
globe#contour#mod_equal#under#2500,globe#contour#mod_equal#under#2500#2#0.75#0.75,2,FL,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
globe#contour#mod_equal#under#2500,globe#contour#mod_equal#under#2500#2#0.75#0.75,2,Xt,0.609,0.515,0.52,0.626,0.751,0.79,0.718,0.653,0.668,0.644
globe#contour#mod_equal#under#2500,globe#contour#mod_equal#under#2500#2#0.75#0.75,2,Fd,1,1,1,1,1,1,1,1,1,1
globe#ported#mod_equal#under#900,globe#ported#mod_equal#under#900#2#1.5#1.875,2,Cv,0.1,2.19,6.69,14.5,24.1,33.7,42.4,48.9,51.9,54.4
globe#ported#mod_equal#under#900,globe#ported#mod_equal#under#900#2#1.5#1.875,2,FL,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
